GeneID	Name	NT1_5min	NT2_5min	NT3_5min	T1_5min	T2_5min	T3_5min
gene0	thrL	690.967934908441	543.387239283981	499.092215592674	772.555690815615	965.826433680095	747.942209401707
gene1	thrA	5.70724515806428	8.47807692741542	9.069487219306	11.7913949790099	12.9844522895141	12.5868765771247
gene2	thrB	4.97240698563218	7.39210936448651	8.93183493840055	4.09086532653513	3.99798339815608	5.04386316097839
gene3	thrC	5.02255604753856	6.99123621472942	8.03986595203075	5.16290783682537	4.87544326252434	5.6414677273041
gene4	yaaX	7.13331126049934	8.07399842723075	7.1705292159797	6.13348058944006	6.42569941512424	5.82056194086931
gene5	yaaA	9.69248191535255	13.2733918860075	11.9465687151745	12.3698060823103	15.2765421423272	13.8187781368361
gene6	yaaJ	2.62599380241216	8.67526797115209	7.26317551224851	1.74581010847674	2.09138330020553	2.17447408357004
gene7	talB	143.878524630928	240.549609846253	281.686652076925	171.871368075142	152.458811594693	157.649371058828
gene8	mog	42.2372147531592	49.9488427174214	63.7366677720964	40.0679007485666	40.8900693648659	40.9963559151535
gene9	satP	9.79125692308372	15.6070083378455	13.186796223797	14.778767515508	15.3502819361301	17.7511740884501
gene10	yaaW	1.51609663973687	2.46687160989645	2.49638948727682	1.94386419641318	2.47038443900785	2.23284582017382
gene11	mbiA	1.97279735590452	2.92553433671045	3.28649255732403	2.39173290709912	3.06410666554536	2.72704105748136
gene12	yaaI	1.94734190615091	3.9298222433424	3.2007579688721	3.76965664163681	3.034358057142	2.46619365198315
gene13	dnaK	41.810576220299	96.3304596100438	117.239030884479	42.2819362109328	43.0039179167118	46.3613679349649
gene14	dnaJ	16.3392590112756	27.6004863021804	43.9020220176268	13.9129372885586	13.3073337356983	15.6753754338584
gene15	insL-1	21.0079504192973	28.4091192901464	33.9841740639919	11.9089189542521	12.3144805502785	13.8061846575876
gene16	mokC	30.8547324709878	55.4778620124423	53.1309492434968	40.7288145753471	34.5610832827754	43.4463373443459
gene17	hokC	32.949833636948	67.9628082083921	64.3009413389484	47.6246728121229	39.877134605624	51.5975696758238
gene18	sokC	74.2280914815172	131.570448707104	130.893334405612	134.060361454904	108.565112390986	142.836590028933
gene19	nhaA	22.0898008604129	30.2949895715558	36.2201086534457	21.1993631713456	20.5407640686555	24.1949836976496
gene20	nhaR	25.2615837455494	29.5829731391212	38.1206640308785	31.5000940206011	35.4743289730659	31.864685618673
gene21	insB-1	6.28999617795594	6.23157527158581	8.86434405601217	7.91719688330784	10.4704477076801	8.8798215800286
gene22	insA-1	14.1755035815397	20.6828253285477	17.9483497128717	19.234747513095	23.8344557109907	22.0611950954471
gene23	rpsT	5278.50063736897	4830.5196386881	7999.85547818222	10826.7542206161	11004.4848739252	10498.0382735762
gene24	yaaY	305.258789454527	681.883375719463	608.515922117796	938.66738929201	1117.41152363417	1070.3774208083
gene25	ribF	42.977959903267	58.1438477010195	59.5172789514394	48.6582018808846	59.519575633404	57.6439537182207
gene26	ileS	34.9851812663967	44.3027820059361	49.7726264140588	29.0012013740215	29.0182943235723	33.7518208392262
gene27	lspA	19.6816909231296	24.7364447390025	29.1809362876391	15.1759834013003	13.2018915256189	16.0259472105268
gene28	fkpB	19.6910631569025	26.9271420113821	26.8006323500737	10.2551795455438	13.3654547834584	13.1893933580099
gene29	ispH	8.84596954213664	11.9828586132958	14.3368786556368	5.45462397260073	5.03211318550345	6.07945759817612
gene30	rihC	2.87312740251774	8.83630194912858	7.13424214724595	1.32724498000998	1.40628011790014	2.12021125124781
gene31	dapB	5.41810886726403	8.10633405816469	9.01151878618839	6.07847753097376	6.26153921108822	7.01016584119297
gene32	carA	1.38625859852703	2.21629661765524	2.03479741260589	1.97799601552774	2.42851172412333	2.05619329138281
gene33	carB	0.979110455606605	1.42263956071837	1.36504791669276	0.823834623465892	0.776289105318781	1.0015268590993
gene34	caiF	10.9733237091258	11.3607588489353	8.41757777528052	8.3678199470218	13.9831981590488	7.85775862017357
gene35	caiE	3.00910551338638	4.95516672713834	5.83604482812384	2.78875440868667	4.47678804429341	4.48508275443635
gene36	caiD	0.491863413655092	0.75596580558953	0.79517194632898	0.684247616466433	0.846132174892314	1.1974362160796
gene37	caiC	1.05482862733816	1.18805050831548	1.54918098052138	1.2057211704779	1.46997177739811	1.33490880033837
gene38	caiB	0.647515165838358	0.592377146040775	0.893244603821845	0.811898451001883	0.593506719377239	0.646569811658143
gene39	caiA	4.35648976688694	6.77662260859831	5.00230945219536	3.41515510885583	3.41523394110934	3.39456394556735
gene40	caiT	0.847212815314346	1.48477244362323	1.78769349781948	1.44288612678313	1.79410617333172	1.76230479358202
