GeneID	KSIJ01	KSIJ02	KSIJ03	KSIJ04	KSIJ05	KSIJ06	Name
gene-pC002.2	1361.98733937662	2305.55472242224	1198.00196899243	135.246751819988	128.930274523907	89.5294019407493	LshCas13a
gene-pC002.3	79.4006930732797	89.1531999015047	110.187894369496	22.6335529510817	28.5757316415425	24.7156358824943	cat
gene-pC008.2	3284.54487783898	4262.45901992632	2405.52533603824	2332.00434253571	3290.37508265579	2573.40065852428	bla
gene-pC008.3	2006.78280610262	3023.29344646413	1197.98290473867	2755.61957348137	2585.59121144451	2076.95803777508	tetR
gene-pC008.4	92512.1590945303	121849.198140839	40408.5198361845	53862.817785443	60115.1760546439	48450.5871016106	RFP
gene-pC008.5	31.4041863348039	16.9194188824657	48.4106233229735	7.39985583168158	11.2988833795397	11.7502268006888	rop
gene0	264.166649563301	343.093242793102	323.677658300062	118.910237433775	118.454159889789	107.105097625672	thrL
gene1	29.0966747638668	37.6477375377127	22.7574007096159	5.43883609414007	7.34545568084065	5.54164167749902	thrA
gene10	0.559596719137945	1.27125638662125	0.215767669762081	0.33164619973923	0.687929477999564	0.315972485396673	yaaW
gene100	40.7391149097875	49.4672875530653	22.886682452502	53.9546451602368	83.6636391712962	90.2639743352838	secA
gene1000	0.389521869329264	0.213460575713178	0.344187033534686	0.785992602062948	0.365789132627114	0.739245725441011	hyaA
gene1001	0.222715751095035	0.15977417004886	0.085874089303303	0.320554353594106	0.22815944225738	0.398223962921894	hyaB
gene1002	0.256517756461539	0.269900999122086	0.181330174446946	0.621133984257372	0.925012518440091	0.531083697206273	hyaC
gene1003	0.617736638009419	0.568719962435823	0.305670865496281	0.862956948301059	0.765731026106657	1.21498943789435	hyaD
gene1004	0.273104618909428	0.478922073630167	0.386110566942671	1.35650776434693	1.1284457226835	0.848136671327913	hyaE
gene1005	0.381009590716299	0.723825406736502	0.299258189996359	0.906808839846427	0.715590977989057	0.569707966094002	hyaF
gene1006	0.916889099212428	0.927620909604061	0.664759940496766	0.766328112018804	0.609340770642332	0.730111179848624	appC
gene1007	0.734764317716745	1.05040626307408	0.316155618138634	0.922308956530736	1.22399413719711	1.22359441794332	appB
gene1008	1.17170691338561	2.56841273358114	4.14134720994961	6.18359688546049	7.92228463373691	5.25601542912531	appX
gene1009	0.699055317839759	1.10329045830506	0.5336886242845	1.06770162225517	1.32343015051648	1.0131065447861	appA
gene101	3.35288439830343	5.14472827557329	1.84343045037757	3.64300594790478	5.77243388911173	4.33854528025432	mutT
gene1010	2.08178096715692	2.08087359020535	1.56577483233583	2.24899004775021	2.74004739815782	2.22397690202858	etk
gene1011	1.7877049550984	2.56496519971056	1.32115461328594	0.68109890684701	1.1904104054422	0.925297501978178	etp
gene1012	1.0514527828013	1.46669885049239	0.833355306984598	0.593472146901781	0.789912005878446	0.296847834964769	gfcE
gene1013	2.51159874853043	2.39204104372149	1.54278514087393	0.483947244254671	0.722211132959485	0.394475902130897	gfcD
gene1014	10.0653858945053	12.8544415605976	9.52121780236608	1.63026083727236	1.58905262956927	2.41611089235047	gfcC
gene1015	20.442198288881	30.2929349293723	14.7290705420534	1.46849852163603	2.66532676824947	2.15694085767683	gfcB
gene1016	21.366420185267	26.2280265029227	18.2083939093667	2.54262086466743	3.74539382466429	6.63542219333014	gfcA
gene1017	0	0	0.279090790235735	0.857954299325401	1.92794728707486	0.544938054524697	insA-4
gene1018	0.288277097737729	0.473933302029853	0.611341730992562	0.201356621270247	0.649711173666255	0.0746046146075479	insB-4
gene1019	232.944135935338	287.531996783047	202.879350220377	20.1696942320281	22.0993307662536	40.7782518829538	cspH
gene102	13.0248834159683	13.5114075924147	12.7084978018454	18.1098924827301	28.7349532716939	16.5215310167261	yacG
gene1020	3036.80027286713	4207.11793732947	2728.32343050373	1559.4191154668	2511.25264742089	3378.59291250153	cspG
gene1021	1602.62847868995	2099.20857245756	1796.80127424614	785.55929844899	1539.5989111978	1680.69275787884	ymcF
gene1022	667.649758360581	986.057011234183	669.919384125849	310.015976166628	671.742288918756	687.230580813965	ymcE
gene1023	198.314762064403	220.192680628601	127.939067772202	104.983176331246	188.89792278507	175.686149682023	gnsA
gene1024	1.25134807230288	1.51235029117012	0.908474304156544	3.0552211361452	4.15415887296664	3.01085885991579	yccM
