SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	-	0.684852219397884	0.109356791351163
NC_000913.3	6	-	0.482672226655243	0.433526441824382
NC_000913.3	26	-	0.309426532145305	0.585082837368413
NC_000913.3	29	-	0.656982569982677	0.232943083420776
NC_000913.3	30	-	0.877813942796087	0.104643884141787
NC_000913.3	31	-	1.09511083542322	0.0117905827931452
NC_000913.3	32	-	1.16412042744103	0.0187768304669383
NC_000913.3	33	-	7.083688015588	1.55036471920295e-59
NC_000913.3	66	-	5.98315405144837	1.42355936918166e-24
NC_000913.3	70	-	0.468554371867901	0.408460598100452
