SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	0.731748319474123	0.0796545561767968
NC_000913.3	13	+	0.489661453844093	0.421726116482837
NC_000913.3	31	+	0.43830697870409	0.555243929825654
NC_000913.3	33	+	1.00570123672362	0.0710718083021059
NC_000913.3	34	+	1.01717625688739	0.00410229501886783
NC_000913.3	35	+	0.721163920684615	0.145073528537575
NC_000913.3	38	+	0.542332175001165	0.215148220867773
NC_000913.3	39	+	0.544159419342845	0.238974824410393
NC_000913.3	40	+	0.785874444380429	0.114036352659635
NC_000913.3	44	+	0.528981709328267	0.367208091796945
