SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	-	1.06313133616422	0.00174607183083705
NC_000913.3	7	-	0.212544164129949	0.718287426985298
NC_000913.3	12	-	1.23821064499795	0.00253307136284033
NC_000913.3	13	-	1.5929909889812	0.00192539484651829
NC_000913.3	15	-	0.84439259017775	0.0641780251902515
NC_000913.3	20	-	0.0441258820824059	0.949412363168321
NC_000913.3	27	-	0.415799568599849	0.506507939534746
NC_000913.3	40	-	1.22511424873679	0.0094947038936171
NC_000913.3	64	-	3.11482730077646	7.95556332736129e-15
NC_000913.3	66	-	2.98554910038688	4.09781014403923e-19
NC_000913.3	68	-	1.77552261809497	0.000189560036660439
NC_000913.3	70	-	1.38143764942484	0.000764139566833558
NC_000913.3	72	-	0.959060745337947	0.00834842243824868
