SeqID	RelPos	Strand	logFC	PValue.adj
NC_000913.3	0	+	1.06612277757088	0.00381568759857437
NC_000913.3	4	+	1.16584553326151	0.0556281063651186
NC_000913.3	5	+	0.804162008636356	0.16975661653121
NC_000913.3	6	+	0.947085975492229	0.084393503829821
NC_000913.3	7	+	0.509344406278308	0.324259271169908
NC_000913.3	8	+	1.16913692989606	0.00114060646040324
NC_000913.3	9	+	0.764703969818299	0.0467247753675643
NC_000913.3	10	+	0.720830772188596	0.139081747544436
NC_000913.3	11	+	0.941452379997136	0.0088250491346571
NC_000913.3	12	+	1.47747621805341	1.70042176884623e-05
NC_000913.3	13	+	1.59815685111935	5.70769770756041e-06
NC_000913.3	14	+	0.982933477784199	0.0262850349468806
NC_000913.3	15	+	0.621464379842839	0.109261690947511
NC_000913.3	16	+	1.2830371728159	0.00035938968338416
NC_000913.3	17	+	1.12657704747013	0.0062980518595208
NC_000913.3	18	+	0.923211029866757	0.0168684243331461
NC_000913.3	19	+	0.708516337716643	0.126150162986894
NC_000913.3	20	+	0.58018236620684	0.292007457908253
NC_000913.3	21	+	0.67621187015167	0.125937056032429
NC_000913.3	22	+	0.592642973899709	0.153491999568254
NC_000913.3	23	+	0.798261548174797	0.0468482812337116
NC_000913.3	24	+	1.13809201371081	0.00124452760438713
NC_000913.3	25	+	0.932165946299383	0.0152669976242507
NC_000913.3	26	+	0.969899127281971	0.0532282110436227
NC_000913.3	28	+	0.939050460570316	0.045728221217771
NC_000913.3	29	+	0.612555520405603	0.186774329409914
NC_000913.3	30	+	0.550577273921543	0.248361257694059
NC_000913.3	31	+	0.824666289245109	0.101435106432319
NC_000913.3	32	+	0.781903608787112	0.0668596368037784
NC_000913.3	33	+	1.98099192842989	3.71307723255671e-06
NC_000913.3	35	+	0.748827247257389	0.0894988280884946
NC_000913.3	36	+	1.11694713889649	0.0245452822621872
NC_000913.3	40	+	1.57393978742312	0.00105598387932184
NC_000913.3	56	+	0.800571787788924	0.0515627461522332
